metric,p10,p60,p90
1,2734.8960083235506,5460.554899180647,7459.378178680616
2,12778.094610743476,61020.31539790027,93658.98470557024
3,10293.276088550901,45510.67414190451,87240.23734540262
4,11744.54094307527,53460.16662768514,94846.24965524636
5,8701.414878307623,34054.975461393675,67240.12876368867
6,8270.22590137589,32187.97839894105,64653.992206330266
7,18590.085821908928,73552.33246718618,145984.04120450022
8,11692.122980123091,43524.32438407207,79289.78154532105
9,19943.73389984521,72872.19471238111,130965.53949492217
10,11623.630837633946,42435.397673984764,74356.70616152298
11,10166.970491846298,30211.049055780597,92464.40125425384
12,0.0,0.0,0.0
annual,346110.40614398936,483015.2169672606,584155.8560306168
