sim,mes,estado,ticket,vendas,faturamento
3,4,baixo,5215.124420556087,2.4518333334115834,12786.615892208183
3,5,medio,14237.981060148444,2.019368055620004,28751.72412938641
3,6,alto,43872.57919227967,1.8998009259865578,83349.1665749115
3,7,baixo,6072.839790696599,4.328569444582591,26286.70875985464
3,8,medio,26702.366764365328,2.260134259331391,60350.933929373976
3,9,alto,38389.03969308562,3.8471458334561146,147688.23410563575
3,10,alto,34619.29987207857,2.260134259331391,78244.26567495162
3,11,baixo,7396.099928519925,2.572923611193225,19029.60013683344
3,12,baixo,7819.62914718165,0.0,0.0
4,1,medio,10519.806348737155,0.817277777803861,8597.603955622852
4,2,baixo,9824.786118569358,2.30767824081439,22672.445146477774
4,3,alto,41688.10561238303,2.260134259331391,94220.71570117211
4,4,medio,15849.987483940851,2.4518333334115834,38861.52764728257
4,5,medio,14805.610576276184,2.019368055620004,29897.977041681806
4,6,baixo,7216.315203133168,1.8998009259865578,13709.562305123269
4,7,alto,33750.54703008241,4.328569444582591,146091.58661236244
4,8,alto,40739.7495029832,2.260134259331391,92077.30356827134
4,9,medio,13971.019608454395,3.8471458334561146,53748.549875799006
4,10,baixo,4894.4459272989025,2.260134259331391,11062.104920733247
4,11,baixo,6451.548837470649,2.572923611193225,16599.342332694436
4,12,medio,17207.706433145213,0.0,0.0
5,1,medio,17750.08934244242,0.817277777803861,14506.753573611339
5,2,alto,29722.0760658181,2.30767824081439,68588.9882089186
5,3,alto,41113.9173491528,2.260134259331391,92922.97313613948
5,4,medio,18544.382066034887,2.4518333334115834,45467.7340970243
5,5,alto,43893.42637777531,2.019368055620004,88636.98307898793
5,6,medio,19885.161612151045,1.8998009259865578,37777.84844415691
5,7,baixo,6112.147780796703,4.328569444582591,26456.8561247299
5,8,alto,29525.783625539963,2.260134259331391,66732.23510568867
5,9,medio,16429.428582103006,3.8471458334561146,63206.40771570238
5,10,baixo,7186.469391796753,2.260134259331391,16242.385676036267
5,11,medio,14489.41916957722,2.572923611193225,37280.168693880965
5,12,baixo,4249.429675191063,0.0,0.0
6,1,medio,30461.60055867357,0.817277777803861,24895.589212941588
