sim,mes,estado,ticket,vendas,faturamento
0,1,baixo,5179.420752077718,0.817277777803861,4233.02548256928
0,2,medio,14531.998052909254,2.30767824081439,33535.175702255765
0,3,medio,9597.455962384965,2.260134259331391,21691.539023010584
0,4,baixo,8098.642449094705,2.4518333334115834,19856.52151207242
0,5,baixo,10681.159749566068,2.019368055620004,21569.192795247884
0,6,baixo,975.2251856678249,1.8998009259865578,1852.7337107771466
0,7,alto,31286.370873170985,4.328569444582591,135425.22899348667
0,8,medio,15584.25938895932,2.260134259331391,35222.51855129385
0,9,alto,41344.94390881873,3.8471458334561146,159060.02869328874
0,10,baixo,7319.182349189693,2.260134259331391,16542.334777697237
0,11,alto,30661.217728723987,2.572923611193225,78888.97104217026
0,12,baixo,4732.6874795080175,0.0,0.0
1,1,baixo,9688.354675176863,0.817277777803861,7918.076979504194
1,2,alto,38696.68437471706,2.30767824081439,89299.49652319675
1,3,medio,24091.982118260203,2.260134259331391,54451.114160679135
1,4,medio,23025.301172431435,2.4518333334115834,56454.2009264082
1,5,medio,17685.369804181322,2.019368055620004,35713.27083439037
1,6,baixo,10218.196939613335,1.8998009259865578,19412.540007790427
1,7,baixo,4585.331618081389,4.328569444582591,19847.92633530555
1,8,baixo,7066.622691811379,2.260134259331391,15971.51604353151
1,9,alto,31258.25736986118,3.8471458334561146,120255.07460156034
1,10,medio,18861.734097312332,2.260134259331391,42630.05142373465
1,11,alto,24706.74234448019,2.572923611193225,63568.56073378054
1,12,medio,19950.303835783747,0.0,0.0
2,1,baixo,4916.530369283551,0.817277777803861,4018.171014713257
2,2,medio,20461.706425040204,2.30767824081439,47219.03468699728
2,3,medio,17040.30511561843,2.260134259331391,38513.37738126917
2,4,baixo,4354.970741107332,2.4518333334115834,10677.662429079104
2,5,alto,43820.35773610502,2.019368055620004,88489.4305981314
2,6,baixo,8877.575083502907,1.8998009259865578,16865.625364154017
2,7,medio,13094.123218876786,4.328569444582591,56678.8216688295
2,8,medio,25421.379716535972,2.260134259331391,57455.731216815075
2,9,medio,21738.531499761386,3.8471458334561146,83631.30088476151
2,10,medio,20060.429750440406,2.260134259331391,45339.264535881026
2,11,baixo,4286.628858525767,2.572923611193225,11029.16860252321
2,12,baixo,5613.92734346227,0.0,0.0
3,1,baixo,5066.691116540391,0.817277777803861,4140.894056544694
3,2,alto,38779.550156960984,2.30767824081439,89490.72408578912
3,3,baixo,1364.9170439784211,2.260134259331391,3084.8957722409605
3,4,alto,26682.996258769235,2.4518333334115834,65422.25966254698
3,5,medio,14616.88644018613,2.019368055620004,29516.87354993707
3,6,medio,18477.200123869785,1.8998009259865578,35103.00190496676
3,7,baixo,10057.55408375749,4.328569444582591,43534.821294189525
3,8,baixo,2216.3696685845466,2.260134259331391,5009.293019310894
3,9,alto,34839.083206872994,3.8471458334561146,134031.03380075234
3,10,baixo,6778.615442231969,2.260134259331391,15320.58099182128
3,11,medio,19753.104836100745,2.572923611193225,50823.22982717869
3,12,baixo,5338.420969935062,0.0,0.0
4,1,baixo,10236.819977770061,0.817277777803861,8366.325483210085
4,2,alto,39643.09109922253,2.30767824081439,91483.49872829845
4,3,baixo,9089.081213002863,2.260134259331391,20542.543835353084
4,4,alto,38053.91141426375,2.4518333334115834,93301.84847218338
4,5,baixo,2892.13482607594,2.019368055620004,5840.28468032387
4,6,baixo,5449.737153145465,1.8998009259865578,10353.415689929101
4,7,medio,14351.785886568749,4.328569444582591,62122.701863793154
4,8,medio,16052.776312020858,2.260134259331391,36281.42970018176
4,9,baixo,6458.939246564214,3.8471458334561146,24848.481210965692
4,10,medio,13439.107358228437,2.260134259331391,30374.186955164674
4,11,baixo,8127.5369818643085,2.572923611193225,20911.5318014848
4,12,alto,40038.81051209264,0.0,0.0
5,1,baixo,3071.945986266878,0.817277777803861,2510.6331891896843
5,2,alto,35888.27092897633,2.30767824081439,82818.58192325031
5,3,baixo,4399.948668460478,2.260134259331391,9944.474724887063
5,4,baixo,3061.4094098326086,2.4518333334115834,7506.065638247473
5,5,medio,16627.69473262089,2.019368055620004,33577.435581655634
5,6,baixo,2548.8390955866475,1.8998009259865578,4842.286873986253
5,7,alto,27156.28449067616,4.328569444582591,117547.86327473294
5,8,alto,35668.76421140447,2.260134259331391,80616.19598220866
5,9,medio,17471.444252439615,3.8471458334561146,67215.19396023384
5,10,medio,19797.112170403314,2.260134259331391,44744.13145215496
5,11,baixo,5958.866391614093,2.572923611193225,15331.708034929676
5,12,medio,20437.698267055875,0.0,0.0
6,1,baixo,5032.555588536267,0.817277777803861,4112.995848073322
6,2,alto,34630.367076832736,2.30767824081439,79915.74457462193
6,3,baixo,9431.27416620354,2.260134259331391,21315.94585218372
6,4,medio,13717.169470733617,2.4518333334115834,33632.21334840041
6,5,medio,22433.70860394817,2.019368055620004,45301.914523900574
6,6,baixo,4921.945997128768,1.8998009259865578,9350.717563001064
6,7,baixo,4639.497580812402,4.328569444582591,20082.387466519413
6,8,medio,17597.620385167764,2.260134259331391,39772.98471522613
6,9,baixo,6346.165718932518,3.8471458334561146,24414.625004013265
6,10,medio,13890.387984109238,2.260134259331391,31394.141758290385
6,11,baixo,6286.43667433827,2.572923611193225,16174.52134967595
6,12,alto,24246.56197123285,0.0,0.0
7,1,baixo,9283.527742898323,0.817277777803861,7587.220923896435
7,2,alto,43123.87502600955,2.30767824081439,99516.02805712131
7,3,alto,28387.130270220387,2.260134259331391,64158.72564782826
7,4,alto,31912.886793831196,2.4518333334115834,78245.07960650563
7,5,medio,15325.258647484385,2.019368055620004,30947.337756844197
7,6,medio,17220.04098163507,1.8998009259865578,32714.64980243678
7,7,baixo,4608.147237682323,4.328569444582591,19946.685329169373
7,8,medio,15340.4091145947,2.260134259331391,34671.38419205501
7,9,baixo,8827.704373422039,3.8471458334561146,33961.46609919292
7,10,baixo,8324.785701612767,2.260134259331391,18815.133365807123
7,11,alto,25115.50317998487,2.572923611193225,64620.2711387816
7,12,baixo,8488.76395788769,0.0,0.0
8,1,baixo,8873.152188204338,0.817277777803861,7251.830102491108
8,2,alto,28264.010979149847,2.30767824081439,65224.24313472312
8,3,baixo,7215.7400611169005,2.260134259331391,16308.541318560292
8,4,alto,29332.816828945237,2.4518333334115834,71919.1780640642
8,5,baixo,9556.2790156109,2.019368055620004,19297.644574716433
8,6,alto,26651.031429935487,1.8998009259865578,50631.654189088295
8,7,baixo,6322.394249756155,4.328569444582591,27366.922566099165
8,8,alto,28098.52650496734,2.260134259331391,63506.442390607815
8,9,baixo,6153.373694920083,3.8471458334561146,23672.925972110253
8,10,alto,20483.669230400912,2.260134259331391,46295.842584441365
8,11,baixo,6078.247001222431,2.572923611193225,15638.86522410961
8,12,alto,31940.780151801624,0.0,0.0
9,1,baixo,2234.793516133215,0.817277777803861,1826.4470787158307
9,2,alto,36477.90690709455,2.30767824081439,84179.27203995503
9,3,baixo,5560.71793158965,2.260134259331391,12567.969103664158
9,4,baixo,2049.551099985584,2.4518333334115834,5025.157705475032
9,5,medio,13999.848998486432,2.019368055620004,28270.84785104721
9,6,baixo,8664.991741237696,1.8998009259865578,16461.75933366925
9,7,baixo,6006.079826675971,4.328569444582591,25997.733619473514
9,8,medio,18420.71323037275,2.260134259331391,41633.28505328447
9,9,medio,22629.45313046962,3.8471458334561146,87058.80632427664
9,10,medio,18576.976249795145,2.260134259331391,41986.46045694759
9,11,medio,17872.928939991943,2.572923611193225,45985.680870883974
9,12,baixo,5987.735000598562,0.0,0.0
10,1,baixo,7084.224856021576,0.817277777803861,5789.779547792191
10,2,alto,30700.178307977916,2.30767824081439,70846.13347044257
10,3,alto,25456.05260317024,2.260134259331391,57534.09659576709
10,4,medio,22177.78009031286,2.4518333334115834,54376.220486500824
10,5,baixo,5348.134073154854,2.019368055620004,10799.851104501811
10,6,medio,15812.570550310162,1.8998009259865578,30040.73617370702
10,7,baixo,6867.26543982266,4.328569444582591,29725.435350654392
10,8,medio,21442.828593819195,2.260134259331391,48463.67152186151
10,9,baixo,6996.632791260906,3.8471458334561146,26917.066691121818
10,10,alto,19397.727230464894,2.260134259331391,43841.46786673913
10,11,baixo,7024.215815050098,2.572923611193225,18072.770720659264
10,12,medio,20411.861539690395,0.0,0.0
11,1,baixo,8385.384486646653,0.817277777803861,6853.1883992775465
11,2,alto,39661.34298098799,2.30767824081439,91525.61819870252
11,3,alto,28836.666265067302,2.260134259331391,65174.73735058439
11,4,medio,13976.414297971045,2.4518333334115834,34267.83845733566
11,5,baixo,7419.263933998032,2.019368055620004,14982.22458452923
11,6,baixo,7411.1395955987555,1.8998009259865578,14079.68986633416
11,7,alto,55191.019927488946,4.328569444582591,238898.16247347754
11,8,medio,20740.025232665237,2.260134259331391,46875.241567744204
11,9,alto,32667.011618391523,3.8471458334561146,125674.75763915744
11,10,medio,11287.165390228336,2.260134259331391,25510.50918919463
11,11,baixo,7072.480934970599,2.572923611193225,18196.95318729979
11,12,alto,35792.96716445037,0.0,0.0
